노선ID,노선명,기점노드ID,종점노드ID,기점정류장,종점정류장,도시코드,지자체
255000054,1- 1(거진),255000194,266000373,대포차고지,거진1리,32060,강원도 속초시
255000055,1- 1(거진),255000194,266000373,대포차고지,거진1리,32060,강원도 속초시
255000056,1- 1(거진),255000194,266000373,대포차고지,거진1리,32060,강원도 속초시
255000057,1- 1(대진),255000194,266000249,대포차고지,배봉리입구,32060,강원도 속초시
255000058,1- 1(대진),255000194,266000249,대포차고지,배봉리입구,32060,강원도 속초시
255000059,1- 1(대진),255000194,266000249,대포차고지,배봉리입구,32060,강원도 속초시
255000060,1- 1(대진),255000194,266000249,대포차고지,배봉리입구,32060,강원도 속초시
255000061,1- 1(대진),255000194,266000249,대포차고지,배봉리입구,32060,강원도 속초시
255000062,1- 1(대진),255000194,266000249,대포차고지,배봉리입구,32060,강원도 속초시
255000063,1- 1(대진),255000194,266000249,대포차고지,배봉리입구,32060,강원도 속초시
255000064,1- 1(대진),255000194,266000249,대포차고지,배봉리입구,32060,강원도 속초시
255000065,1- 1(대포),266000090,255000166,배봉리입구,대포차고지,32060,강원도 속초시
255000066,1- 1(대포),266000090,255000166,배봉리입구,대포차고지,32060,강원도 속초시
255000069,1- 1(대포),266000090,255000166,배봉리입구,대포차고지,32060,강원도 속초시
256000001,정라동-펠리스,256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000002,신동아A-펠리스,256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000003,경찰서-펠리스,256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000004,펠리스(삼척중),256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000005,펠리스(건지),256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000006,홍전항,256000392,256000392,도계버스터미널,도계버스터미널,32070,강원도 삼척시
256000008,증산,256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000009,후진,256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000010,증산(보건소),256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000011,근산,256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000012,도경2리,256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000013,도경역,256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000014,조비-여삼,256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000015,건지동-조비,256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000016,점리(보건소),256000392,256000392,도계버스터미널,도계버스터미널,32070,강원도 삼척시
256000017,점리(경제사업장),256000392,256000392,도계버스터미널,도계버스터미널,32070,강원도 삼척시
256000018,점리(편도),256000392,256000736,도계버스터미널,점리,32070,강원도 삼척시
256000019,상군천,256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000020,예비군훈련장-교곡,256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000021,동막-마읍,256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000022,발한,256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000023,발한(대동),256000208,253000092,삼척종합버스터미널,묵호여중,32070,강원도 삼척시
256000024,발한(엘리시아),256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000025,"마읍,신리",256000214,256000164,교동주민센터,삼척병원,32070,강원도 삼척시
256000026,"주지-마읍,신리",256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000027,점리(38국도),256000392,256000736,도계버스터미널,점리,32070,강원도 삼척시
256000028,근덕-금계,256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000029,점리(터미널),256000736,256000392,점리,도계버스터미널,32070,강원도 삼척시
256000030,대진-구마,256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000031,점리(고려의원),256000736,256000392,점리,도계버스터미널,32070,강원도 삼척시
256000032,장호-호산,256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000033,용화-장호-호산,256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000034,근덕-용화-장호,256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000035,근덕-용화-호산,256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000036,근덕-장호-호산,256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000037,구종점,256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000038,고천,256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000039,도마평-고천,256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000040,내미로,256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000041,조지전-내미로,256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000042,마평-조지-내미로,256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000043,삼척중-내미로,256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000044,상거노-동산,256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000045,하거노-동산,256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000046,무사리-활기,256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
256000047,무사리-미로-활기,256000208,256000208,삼척종합버스터미널,삼척종합버스터미널,32070,강원도 삼척시
